+------------------------------------------------+
|Time of Transition |PID | Old State | New State |
+------------------------------------------------+
|                 0 |  1 |       NEW |     READY |
|                 0 |  2 |       NEW |     READY |
|                 0 |  3 |       NEW |     READY |
|                 0 |  1 |     READY |   RUNNING |
|                20 |  1 |   RUNNING |   WAITING |
|                20 |  2 |     READY |   RUNNING |
|                30 |  1 |   WAITING |     READY |
|                40 |  2 |   RUNNING |   WAITING |
|                40 |  1 |     READY |   RUNNING |
|                50 |  2 |   WAITING |     READY |
|                60 |  1 |   RUNNING |   WAITING |
|                60 |  2 |     READY |   RUNNING |
|                70 |  1 |   WAITING |     READY |
|                80 |  2 |   RUNNING |   WAITING |
|                80 |  1 |     READY |   RUNNING |
|                90 |  2 |   WAITING |     READY |
|               100 |  1 |   RUNNING |   WAITING |
|               100 |  2 |     READY |   RUNNING |
|               110 |  1 |   WAITING |     READY |
|               120 |  2 |   RUNNING |   WAITING |
|               120 |  1 |     READY |   RUNNING |
|               130 |  2 |   WAITING |     READY |
|               140 |  1 |   RUNNING |   WAITING |
|               140 |  2 |     READY |   RUNNING |
|               150 |  1 |   WAITING |     READY |
|               160 |  2 |   RUNNING |   WAITING |
|               160 |  1 |     READY |   RUNNING |
|               170 |  2 |   WAITING |     READY |
|               180 |  1 |   RUNNING |   WAITING |
|               180 |  2 |     READY |   RUNNING |
|               190 |  1 |   WAITING |     READY |
|               200 |  2 |   RUNNING |   WAITING |
|               200 |  1 |     READY |   RUNNING |
|               210 |  2 |   WAITING |     READY |
|               220 |  1 |   RUNNING |   WAITING |
|               220 |  2 |     READY |   RUNNING |
|               230 |  1 |   WAITING |     READY |
|               240 |  2 |   RUNNING |   WAITING |
|               240 |  1 |     READY |   RUNNING |
|               250 |  2 |   WAITING |     READY |
|               260 |  1 |   RUNNING |   WAITING |
|               260 |  2 |     READY |   RUNNING |
|               270 |  1 |   WAITING |     READY |
|               280 |  2 |   RUNNING |   WAITING |
|               280 |  1 |     READY |   RUNNING |
|               290 |  2 |   WAITING |     READY |
|               300 |  1 |   RUNNING |   WAITING |
|               300 |  2 |     READY |   RUNNING |
|               310 |  1 |   WAITING |     READY |
|               320 |  2 |   RUNNING |   WAITING |
|               320 |  1 |     READY |   RUNNING |
|               330 |  2 |   WAITING |     READY |
|               340 |  1 |   RUNNING |   WAITING |
|               340 |  2 |     READY |   RUNNING |
|               350 |  1 |   WAITING |     READY |
|               360 |  2 |   RUNNING |   WAITING |
|               360 |  1 |     READY |   RUNNING |
|               370 |  2 |   WAITING |     READY |
|               380 |  1 |   RUNNING |TERMINATED |
|               380 |  2 |     READY |   RUNNING |
|               400 |  2 |   RUNNING |TERMINATED |
|               400 |  3 |     READY |   RUNNING |
|               420 |  3 |   RUNNING |   WAITING |
|               430 |  3 |   WAITING |     READY |
|               430 |  3 |     READY |   RUNNING |
|               450 |  3 |   RUNNING |   WAITING |
|               460 |  3 |   WAITING |     READY |
|               460 |  3 |     READY |   RUNNING |
|               480 |  3 |   RUNNING |   WAITING |
|               490 |  3 |   WAITING |     READY |
|               490 |  3 |     READY |   RUNNING |
|               510 |  3 |   RUNNING |   WAITING |
|               520 |  3 |   WAITING |     READY |
|               520 |  3 |     READY |   RUNNING |
|               540 |  3 |   RUNNING |   WAITING |
|               550 |  3 |   WAITING |     READY |
|               550 |  3 |     READY |   RUNNING |
|               570 |  3 |   RUNNING |   WAITING |
|               580 |  3 |   WAITING |     READY |
|               580 |  3 |     READY |   RUNNING |
|               600 |  3 |   RUNNING |   WAITING |
|               610 |  3 |   WAITING |     READY |
|               610 |  3 |     READY |   RUNNING |
|               630 |  3 |   RUNNING |   WAITING |
|               640 |  3 |   WAITING |     READY |
|               640 |  3 |     READY |   RUNNING |
|               660 |  3 |   RUNNING |   WAITING |
|               670 |  3 |   WAITING |     READY |
|               670 |  3 |     READY |   RUNNING |
|               690 |  3 |   RUNNING |TERMINATED |
+------------------------------------------------+
